节点ID,节点类型,节点名称,所有属性
192,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 1, ""class"": ""overlap_bump"", ""bbox"": [1742.0, 1384.0, 1944.0, 1592.0], ""confidence"": 0.95, ""image_id"": ""img_60"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 161.60000000000002, ""shape"": ""protrusion""}"
193,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 2, ""class"": ""overlap_bump"", ""bbox"": [1742.0, 1860.0, 1928.0, 2056.0], ""confidence"": 0.95, ""image_id"": ""img_60"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 148.8, ""shape"": ""protrusion""}"
194,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 3, ""class"": ""overlap_bump"", ""bbox"": [1748.0, 2238.0, 1904.0, 2386.0], ""confidence"": 0.95, ""image_id"": ""img_60"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 118.4, ""shape"": ""protrusion""}"
195,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 4, ""class"": ""overlap_bump"", ""bbox"": [1732.0, 1564.0, 1930.0, 1738.0], ""confidence"": 0.95, ""image_id"": ""img_60"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 139.20000000000002, ""shape"": ""protrusion""}"
196,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [926.5500000000001, 1247.45, 2740.95, 2457.05], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.4999999999999996, ""position"": ""edge""}"
197,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [1047.51, 1368.41, 2619.99, 2336.09], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6249999999999998, ""position"": ""edge""}"
198,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 1, ""class"": ""overlap_bump"", ""bbox"": [816.9491525423729, 1239.8305084745764, 946.6101694915254, 1368.6440677966102], ""confidence"": 0.95, ""image_id"": ""img_61"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 103.05084745762707, ""shape"": ""protrusion""}"
199,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 2, ""class"": ""overlap_bump"", ""bbox"": [972.8813559322034, 1226.271186440678, 1075.4237288135594, 1358.4745762711866], ""confidence"": 0.95, ""image_id"": ""img_61"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 82.03389830508478, ""shape"": ""protrusion""}"
200,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 3, ""class"": ""overlap_bump"", ""bbox"": [1331.6397228637413, 1263.7413394919167, 1439.9538106235566, 1374.364896073903], ""confidence"": 0.95, ""image_id"": ""img_61"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 86.65127020785222, ""shape"": ""protrusion""}"
201,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 4, ""class"": ""overlap_bump"", ""bbox"": [1477.8290993071594, 1273.4411085450347, 1548.729792147806, 1341.108545034642], ""confidence"": 0.95, ""image_id"": ""img_61"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 54.133949191685865, ""shape"": ""protrusion""}"
202,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 5, ""class"": ""overlap_bump"", ""bbox"": [3687.2881355932204, 1316.949152542373, 3803.389830508475, 1426.271186440678], ""confidence"": 0.95, ""image_id"": ""img_61"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 87.4576271186441, ""shape"": ""protrusion""}"
203,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 6, ""class"": ""overlap_bump"", ""bbox"": [3408.474576271187, 1208.4745762711866, 3502.542372881356, 1306.7796610169491], ""confidence"": 0.95, ""image_id"": ""img_61"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 75.25423728813549, ""shape"": ""protrusion""}"
204,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 7, ""class"": ""overlap_bump"", ""bbox"": [3497.4576271186443, 1217.7966101694915, 3592.3728813559323, 1315.2542372881358], ""confidence"": 0.95, ""image_id"": ""img_61"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 75.93220338983046, ""shape"": ""protrusion""}"
205,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 8, ""class"": ""overlap_bump"", ""bbox"": [3252.542372881356, 1208.4745762711866, 3394.06779661017, 1300.0], ""confidence"": 0.95, ""image_id"": ""img_61"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 73.22033898305072, ""shape"": ""protrusion""}"
206,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 9, ""class"": ""overlap_bump"", ""bbox"": [2991.5254237288136, 1235.5932203389832, 3073.728813559322, 1312.7118644067798], ""confidence"": 0.95, ""image_id"": ""img_61"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 61.69491525423728, ""shape"": ""protrusion""}"
207,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [1224.4781479016892, 840.5211840485729, 3643.678147901689, 1747.7211840485727], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.666666666666667, ""position"": ""edge""}"
208,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [1315.1981479016893, 931.2411840485729, 3552.9581479016892, 1657.0011840485727], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 3.083333333333335, ""position"": ""edge""}"
209,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 1, ""class"": ""overlap_bump"", ""bbox"": [544.4444444444445, 442.59259259259255, 619.4444444444445, 515.7407407407408], ""confidence"": 0.95, ""image_id"": ""img_62"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 58.51851851851857, ""shape"": ""protrusion""}"
210,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 2, ""class"": ""overlap_bump"", ""bbox"": [889.8148148148148, 501.8518518518518, 958.3333333333333, 586.1111111111111], ""confidence"": 0.95, ""image_id"": ""img_62"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 54.81481481481478, ""shape"": ""protrusion""}"
211,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 3, ""class"": ""overlap_bump"", ""bbox"": [1001.8518518518517, 795.3703703703703, 1062.9629629629628, 850.0], ""confidence"": 0.95, ""image_id"": ""img_62"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 43.703703703703745, ""shape"": ""protrusion""}"
212,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 4, ""class"": ""overlap_bump"", ""bbox"": [1016.6666666666666, 866.6666666666666, 1085.1851851851852, 931.4814814814814], ""confidence"": 0.95, ""image_id"": ""img_62"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 51.851851851851826, ""shape"": ""protrusion""}"
213,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 5, ""class"": ""overlap_bump"", ""bbox"": [1153.7037037037037, 542.5925925925926, 1214.8148148148148, 609.2592592592592], ""confidence"": 0.95, ""image_id"": ""img_62"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 48.88888888888887, ""shape"": ""protrusion""}"
214,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 6, ""class"": ""overlap_bump"", ""bbox"": [802.7777777777777, 515.7407407407408, 866.6666666666666, 577.7777777777777], ""confidence"": 0.95, ""image_id"": ""img_62"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 49.62962962962956, ""shape"": ""protrusion""}"
215,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 7, ""class"": ""overlap_bump"", ""bbox"": [740.7407407407406, 834.2592592592592, 815.7407407407406, 912.9629629629629], ""confidence"": 0.95, ""image_id"": ""img_62"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 60.0, ""shape"": ""protrusion""}"
216,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 8, ""class"": ""overlap_bump"", ""bbox"": [1329.6296296296296, 821.2962962962962, 1416.6666666666665, 884.2592592592592], ""confidence"": 0.95, ""image_id"": ""img_62"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 50.37037037037044, ""shape"": ""protrusion""}"
217,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 9, ""class"": ""overlap_bump"", ""bbox"": [1537.037037037037, 482.4074074074074, 1586.111111111111, 542.5925925925926], ""confidence"": 0.95, ""image_id"": ""img_62"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 39.25925925925931, ""shape"": ""protrusion""}"
218,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 10, ""class"": ""overlap_bump"", ""bbox"": [1778.1879194630872, 599.3288590604027, 1809.3959731543625, 634.8993288590605], ""confidence"": 0.95, ""image_id"": ""img_62"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 24.966442953020305, ""shape"": ""protrusion""}"
219,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [428.70882426050207, 480.35955754412123, 1794.308824260502, 864.3595575441212], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 3.55625, ""position"": ""edge""}"
220,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [467.10882426050205, 518.7595575441212, 1755.908824260502, 825.9595575441213], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 4.195312499999998, ""position"": ""edge""}"
221,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 1, ""class"": ""overlap_bump"", ""bbox"": [1216.6666666666667, 1015.0, 1350.0, 1216.6666666666667], ""confidence"": 0.95, ""image_id"": ""img_63"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 106.66666666666661, ""shape"": ""protrusion""}"
222,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 2, ""class"": ""overlap_bump"", ""bbox"": [1160.0, 1348.3333333333335, 1330.0, 1498.3333333333335], ""confidence"": 0.95, ""image_id"": ""img_63"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 120.0, ""shape"": ""protrusion""}"
223,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 3, ""class"": ""overlap_bump"", ""bbox"": [1160.0, 1980.0, 1275.0, 2083.3333333333335], ""confidence"": 0.95, ""image_id"": ""img_63"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 82.6666666666668, ""shape"": ""protrusion""}"
224,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 4, ""class"": ""overlap_bump"", ""bbox"": [1215.0, 2571.666666666667, 1331.6666666666667, 2680.0], ""confidence"": 0.95, ""image_id"": ""img_63"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 86.66666666666643, ""shape"": ""protrusion""}"
225,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [347.5916666666668, 1194.366666666667, 2161.991666666667, 2403.966666666667], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.5, ""position"": ""center""}"
226,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [468.5516666666668, 1315.326666666667, 2041.0316666666668, 2283.006666666667], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.625, ""position"": ""edge""}"
227,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 1, ""class"": ""overlap_bump"", ""bbox"": [455.5094339622641, 625.4716981132075, 554.566037735849, 731.132075471698], ""confidence"": 0.95, ""image_id"": ""img_64"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 79.24528301886795, ""shape"": ""protrusion""}"
228,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 1, ""class"": ""overlap_bump"", ""bbox"": [725.3886010362695, 359.0673575129534, 802.5906735751296, 439.89637305699483], ""confidence"": 0.95, ""image_id"": ""img_65"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 61.76165803108807, ""shape"": ""protrusion""}"
229,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 2, ""class"": ""overlap_bump"", ""bbox"": [633.8129496402877, 378.4172661870503, 720.1438848920862, 458.99280575539564], ""confidence"": 0.95, ""image_id"": ""img_65"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 64.46043165467627, ""shape"": ""protrusion""}"
230,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [208.68402728594333, 217.09345062809854, 1232.2840272859432, 601.0934506280985], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.6656250000000004, ""position"": ""edge""}"
231,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [247.08402728594334, 255.49345062809854, 1193.8840272859431, 562.6934506280985], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 3.08203125, ""position"": ""edge""}"
232,"[__Node__, Defect, overlap_bump]",Overlap Bump,"{""local_id"": 1, ""class"": ""overlap_bump"", ""bbox"": [810.8808290155441, 443.00518134715026, 911.9170984455959, 547.6683937823834], ""confidence"": 0.95, ""image_id"": ""img_66"", ""is_component"": false, ""is_defect"": true, ""height_estimate"": 80.82901554404144, ""shape"": ""protrusion""}"
233,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 2, ""class"": ""porosity_region"", ""bbox"": [926.9430051813472, 401.55440414507774, 982.0422535211268, 450.3521126760564], ""confidence"": 0.95, ""image_id"": ""img_66"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 10, ""density"": ""very_high""}"
234,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 3, ""class"": ""porosity_region"", ""bbox"": [1037.378640776699, 487.8640776699029, 1086.4077669902913, 525.7281553398058], ""confidence"": 0.95, ""image_id"": ""img_66"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 7, ""density"": ""very_high""}"
235,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 4, ""class"": ""porosity_region"", ""bbox"": [989.0845070422536, 412.32394366197184, 1046.830985915493, 454.5774647887324], ""confidence"": 0.95, ""image_id"": ""img_66"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 9, ""density"": ""very_high""}"
236,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 5, ""class"": ""spatter_cluster"", ""bbox"": [1118.3266932270915, 525.0996015936255, 1235.8565737051792, 581.6733067729083], ""confidence"": 0.95, ""image_id"": ""img_66"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 83, ""density"": ""high""}"
237,"[__Node__, Defect, spatter_cluster]",Spatter Cluster,"{""local_id"": 6, ""class"": ""spatter_cluster"", ""bbox"": [934.6456692913385, 572.4409448818898, 995.5380577427821, 643.3070866141733], ""confidence"": 0.95, ""image_id"": ""img_66"", ""is_component"": false, ""is_defect"": true, ""num_spatters"": 53, ""density"": ""high""}"
238,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 7, ""class"": ""porosity_region"", ""bbox"": [1056.1818181818182, 432.1818181818182, 1098.1818181818182, 468.54545454545456], ""confidence"": 0.95, ""image_id"": ""img_66"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 6, ""density"": ""very_high""}"
239,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [504.64397980131275, 304.1658532857822, 1528.2439798013127, 688.1658532857822], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.665625, ""position"": ""edge""}"
240,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [543.0439798013127, 342.56585328578217, 1489.8439798013126, 649.7658532857822], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 3.082031249999999, ""position"": ""edge""}"
241,"[__Node__, Defect, crack_line]",Crack Line,"{""local_id"": 1, ""class"": ""crack_line"", ""bbox"": [355.77922077922074, 557.4415584415584, 551.8831168831168, 626.2727272727273], ""confidence"": 0.95, ""image_id"": ""img_67"", ""is_component"": false, ""is_defect"": true, ""length"": 196.1038961038961, ""orientation"": ""horizontal"", ""type"": ""longitudinal""}"
242,"[__Node__, Defect, crack_line]",Crack Line,"{""local_id"": 2, ""class"": ""crack_line"", ""bbox"": [555.7792207792207, 524.974025974026, 832.4025974025974, 626.2727272727273], ""confidence"": 0.95, ""image_id"": ""img_67"", ""is_component"": false, ""is_defect"": true, ""length"": 276.62337662337666, ""orientation"": ""horizontal"", ""type"": ""longitudinal""}"
243,"[__Node__, Defect, crack_line]",Crack Line,"{""local_id"": 3, ""class"": ""crack_line"", ""bbox"": [850.5844155844155, 575.6233766233767, 1162.2727272727273, 782.1168831168831], ""confidence"": 0.95, ""image_id"": ""img_67"", ""is_component"": false, ""is_defect"": true, ""length"": 311.6883116883117, ""orientation"": ""horizontal"", ""type"": ""longitudinal""}"
244,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [207.5168831168831, 424.05021645021645, 1228.716883116883, 806.8502164502164], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 2.6677115987460818, ""position"": ""edge""}"
245,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [245.7968831168831, 462.3302164502164, 1190.436883116883, 768.5702164502164], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 3.0846394984326015, ""position"": ""edge""}"
246,"[__Node__, Defect, crack_line]",Crack Line,"{""local_id"": 1, ""class"": ""crack_line"", ""bbox"": [1218.987341772152, 934.1772151898733, 1369.620253164557, 1262.0253164556962], ""confidence"": 0.95, ""image_id"": ""img_68"", ""is_component"": false, ""is_defect"": true, ""length"": 327.84810126582283, ""orientation"": ""vertical"", ""type"": ""transverse""}"
247,"[__Node__, Defect, crack_line]",Crack Line,"{""local_id"": 2, ""class"": ""crack_line"", ""bbox"": [1254.4303797468353, 1889.873417721519, 1370.886075949367, 2265.8227848101264], ""confidence"": 0.95, ""image_id"": ""img_68"", ""is_component"": false, ""is_defect"": true, ""length"": 375.94936708860746, ""orientation"": ""vertical"", ""type"": ""transverse""}"
248,"[__Node__, Defect, crack_line]",Crack Line,"{""local_id"": 3, ""class"": ""crack_line"", ""bbox"": [1267.0886075949368, 2762.025316455696, 1386.0759493670885, 3329.1139240506327], ""confidence"": 0.95, ""image_id"": ""img_68"", ""is_component"": false, ""is_defect"": true, ""length"": 567.0886075949365, ""orientation"": ""vertical"", ""type"": ""transverse""}"
249,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [403.98143459915616, 1469.0396624472571, 2218.381434599156, 2678.6396624472573], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.4999999999999996, ""position"": ""edge""}"
250,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [524.9414345991562, 1589.9996624472572, 2097.421434599156, 2557.679662447257], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6249999999999993, ""position"": ""edge""}"
251,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 1, ""class"": ""undercut_groove"", ""bbox"": [1343.3333333333335, 1888.3333333333335, 1493.3333333333335, 2475.0], ""confidence"": 0.95, ""image_id"": ""img_69"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 75.0, ""location"": ""edge""}"
252,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 2, ""class"": ""undercut_groove"", ""bbox"": [1280.0, 2843.3333333333335, 1353.3333333333335, 2953.3333333333335], ""confidence"": 0.95, ""image_id"": ""img_69"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 36.66666666666674, ""location"": ""edge""}"
253,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 3, ""class"": ""undercut_groove"", ""bbox"": [1265.0, 3115.0, 1353.3333333333335, 3246.666666666667], ""confidence"": 0.95, ""image_id"": ""img_69"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 44.16666666666674, ""location"": ""edge""}"
254,"[__Node__, Defect, undercut_groove]",Undercut Groove,"{""local_id"": 4, ""class"": ""undercut_groove"", ""bbox"": [1238.3333333333335, 3608.3333333333335, 1315.0, 3756.666666666667], ""confidence"": 0.95, ""image_id"": ""img_69"", ""is_component"": false, ""is_defect"": true, ""depth_estimate"": 38.33333333333326, ""location"": ""edge""}"
255,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [425.40833333333353, 2381.0333333333338, 2235.008333333333, 3590.633333333333], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.4960317460317465, ""position"": ""edge""}"
256,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [546.3683333333336, 2501.993333333334, 2114.048333333333, 3469.673333333333], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6200396825396832, ""position"": ""edge""}"
257,"[__Node__, Defect, crack_line]",Crack Line,"{""local_id"": 1, ""class"": ""crack_line"", ""bbox"": [1493.9393939393938, 1671.2121212121212, 1601.5151515151515, 1971.212121212121], ""confidence"": 0.95, ""image_id"": ""img_70"", ""is_component"": false, ""is_defect"": true, ""length"": 299.9999999999998, ""orientation"": ""vertical"", ""type"": ""transverse""}"
258,"[__Node__, Defect, crack_line]",Crack Line,"{""local_id"": 2, ""class"": ""crack_line"", ""bbox"": [1491.9463087248323, 2322.818791946309, 1612.751677852349, 2655.7046979865772], ""confidence"": 0.95, ""image_id"": ""img_70"", ""is_component"": false, ""is_defect"": true, ""length"": 332.8859060402683, ""orientation"": ""vertical"", ""type"": ""transverse""}"
259,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [642.8381330079318, 1550.436933089282, 2457.2381330079315, 2760.036933089282], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.5, ""position"": ""edge""}"
260,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [763.7981330079318, 1671.3969330892821, 2336.2781330079315, 2639.0769330892817], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6250000000000002, ""position"": ""edge""}"
261,"[__Node__, Defect, crack_line]",Crack Line,"{""local_id"": 1, ""class"": ""crack_line"", ""bbox"": [1191.275167785235, 2316.1073825503354, 1451.006711409396, 2423.489932885906], ""confidence"": 0.95, ""image_id"": ""img_71"", ""is_component"": false, ""is_defect"": true, ""length"": 259.7315436241611, ""orientation"": ""horizontal"", ""type"": ""longitudinal""}"
262,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 2, ""class"": ""porosity_region"", ""bbox"": [2183.6879432624114, 2292.9078014184397, 2336.8794326241136, 2369.503546099291], ""confidence"": 0.95, ""image_id"": ""img_71"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 46, ""density"": ""very_high""}"
263,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 3, ""class"": ""porosity_region"", ""bbox"": [47.826086956521735, 2401.4492753623185, 140.57971014492753, 2482.6086956521735], ""confidence"": 0.95, ""image_id"": ""img_71"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 30, ""density"": ""very_high""}"
264,"[__Node__, Defect, porosity_region]",Porosity Region,"{""local_id"": 4, ""class"": ""porosity_region"", ""bbox"": [2531.288343558282, 2297.5460122699383, 2653.374233128834, 2376.687116564417], ""confidence"": 0.95, ""image_id"": ""img_71"", ""is_component"": false, ""is_defect"": true, ""num_pores"": 38, ""density"": ""very_high""}"
265,"[__Node__, Defect, crack_line]",Crack Line,"{""local_id"": 5, ""class"": ""crack_line"", ""bbox"": [2426.380368098159, 2320.245398773006, 2481.5950920245396, 2378.527607361963], ""confidence"": 0.95, ""image_id"": ""img_71"", ""is_component"": false, ""is_defect"": true, ""length"": 58.28220858895702, ""orientation"": ""vertical"", ""type"": ""transverse""}"
266,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [837.1893088992421, 1761.107276893779, 2651.589308899242, 2970.7072768937787], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.5000000000000004, ""position"": ""edge""}"
267,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [958.1493088992421, 1882.067276893779, 2530.629308899242, 2849.7472768937787], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6250000000000007, ""position"": ""edge""}"
268,"[__Node__, Defect, crack_line]",Crack Line,"{""local_id"": 1, ""class"": ""crack_line"", ""bbox"": [655.1724137931035, 527.5862068965517, 816.551724137931, 745.5172413793103], ""confidence"": 0.95, ""image_id"": ""img_72"", ""is_component"": false, ""is_defect"": true, ""length"": 217.9310344827586, ""orientation"": ""vertical"", ""type"": ""transverse""}"
269,"[__Node__, Defect, crack_line]",Crack Line,"{""local_id"": 2, ""class"": ""crack_line"", ""bbox"": [586.2068965517242, 753.1034482758621, 780.0, 1018.6206896551724], ""confidence"": 0.95, ""image_id"": ""img_72"", ""is_component"": false, ""is_defect"": true, ""length"": 265.51724137931035, ""orientation"": ""vertical"", ""type"": ""transverse""}"
270,"[__Node__, Defect, crack_line]",Crack Line,"{""local_id"": 3, ""class"": ""crack_line"", ""bbox"": [480.33333333333337, 1303.5714285714287, 770.8095238095239, 1551.1904761904761], ""confidence"": 0.95, ""image_id"": ""img_72"", ""is_component"": false, ""is_defect"": true, ""length"": 290.4761904761905, ""orientation"": ""horizontal"", ""type"": ""longitudinal""}"
271,"[__Node__, Component, weld_seam]",Weld Seam,"{""local_id"": -1, ""class"": ""weld_seam"", ""bbox"": [298.712315270936, 727.9649151614669, 1064.312315270936, 1238.5649151614668], ""confidence"": 0.85, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.4994124559341957, ""position"": ""edge""}"
272,"[__Node__, Component, weld_surface]",Weld Surface,"{""local_id"": -2, ""class"": ""weld_surface"", ""bbox"": [349.772315270936, 779.0249151614669, 1013.2523152709362, 1187.504915161467], ""confidence"": 0.8, ""image_id"": """", ""is_component"": true, ""is_defect"": false, ""aspect_ratio"": 1.6242655699177442, ""position"": ""edge""}"
